seed,num_v,time,solution,termination
1,4,7.483620882034302,167.98696590764456,ALMOST_LOCALLY_SOLVED
2,4,13.395231008529663,117.95896833438363,ALMOST_LOCALLY_SOLVED
3,4,10.105836868286133,125.47542460891206,ALMOST_LOCALLY_SOLVED
1,5,10.684542894363403,169.6658321181431,ALMOST_LOCALLY_SOLVED
2,5,10.156966924667358,140.74929419901838,ALMOST_LOCALLY_SOLVED
3,5,9.798910140991211,92.11515142605943,ALMOST_LOCALLY_SOLVED
1,6,9.662353992462158,278.90853859948305,ALMOST_LOCALLY_SOLVED
2,6,7.359369993209839,213.93578406425718,ALMOST_LOCALLY_SOLVED
1,7,10.198311805725098,280.34533819285883,ALMOST_LOCALLY_SOLVED
2,7,13.41936707496643,301.47542607361356,ALMOST_LOCALLY_SOLVED
3,7,7.33625602722168,283.21766187927244,ALMOST_LOCALLY_SOLVED
1,8,13.388143062591553,365.3239479049319,ALMOST_LOCALLY_SOLVED
2,8,7.405925035476685,391.661489279874,ALMOST_LOCALLY_SOLVED
3,8,10.040495872497559,423.57951635743916,ALMOST_LOCALLY_SOLVED
