seed,dimension,time_boscia,solution_boscia,time_scip,solution_scip,termination_scip,ncalls_scip
1,10,7.092,-4.299220234947645,0.175094,0.0,OPTIMAL,5.0
1,10,0.221,-4.299220234947645,0.00718,0.0,OPTIMAL,5.0
2,10,9.165,-3.119519245742132,0.24970599999999998,0.0,OPTIMAL,6.0
2,10,1.249,-3.119519245742132,0.00891,0.0,OPTIMAL,6.0
1,20,17.798,1.2658745372323663,1.9535269999999998,1.2658745372323663,OPTIMAL,430.0
1,20,13.194,1.2658745372323663,1.800326,1.2658745372323663,OPTIMAL,430.0
1,30,76.823,5.523682232067458,161.535402,5.523682232067458,OPTIMAL,1659.0
1,30,69.396,5.523682232067458,194.949809,5.523682232067458,OPTIMAL,1659.0
1,40,69.936,6.668905686660359,600.000295,9.77857853988049,TIME_LIMIT,2986.0
1,40,52.894,6.668905686660359,600.005068,9.77857853988049,TIME_LIMIT,2964.0
1,50,5183.699,1.3812322791773113,10154.682139,2.033397514646463,TIME_LIMIT,6642.0
1,50,3384.893,1.3812322791773113,10154.680911,2.033397514646463,TIME_LIMIT,6721.0
2,20,69.553,-4.930225190397363,0.0028799999999999997,0.0,OPTIMAL,0.0
2,20,34.64,-4.930225190397363,0.002728,0.0,OPTIMAL,0.0
2,30,21.661,7.035181744964532,51.504901,7.035181744963498,OPTIMAL,1443.0
2,30,22.319,7.035181744964532,51.3159,7.035181744963498,OPTIMAL,1443.0
2,40,242.664,10.366094011721161,657.273518,11.033342701365882,TIME_LIMIT,1585.0
2,40,219.091,10.366094011721161,657.273465,11.033342701365882,TIME_LIMIT,1590.0
2,50,480.468,4.622262909488774,1453.8643,5.929629223242922,TIME_LIMIT,1110.0
2,50,484.621,4.622262909488774,1453.864267,5.929629223242922,TIME_LIMIT,1110.0
3,20,41.189,1.4037574423466936,4.5582899999999995,1.4037574423466936,OPTIMAL,568.0
3,20,32.321,1.4037574423466936,4.559505,1.4037574423466936,OPTIMAL,568.0
3,30,87.161,1.323910728602376,105.513672,1.3239107286023755,OPTIMAL,2377.0
3,30,86.668,1.323910728602376,104.177306,1.3239107286023755,OPTIMAL,2377.0
3,40,223.528,6.981144660277266,659.791933,7.3371488159209175,TIME_LIMIT,2195.0
3,40,219.93,6.981144660277266,659.791271,7.3371488159209175,TIME_LIMIT,2195.0
