seed,num_v,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls
1,4,81.15,-486.73062876289487,0.0,0.0,1,Optimal (tree empty),3
2,4,80.626,-495.94215241088,0.0,0.0,1,Optimal (tree empty),3
3,4,74.767,-498.8067467473449,0.0,0.0,1,Optimal (tree empty),3
1,5,85.159,-527.1405350432673,0.0,0.0,1,Optimal (tree empty),3
2,5,196.929,-483.98119436801915,2.87016569742093,0.005930324836626724,3,Optimal (tolerance reached),9
3,5,346.577,-491.53486808832656,2.0467929795077,0.004164085016934954,5,Optimal (tolerance reached),16
1,6,334.599,-445.1219397331901,4.242298510902231,0.009530643475909322,5,Optimal (tolerance reached),19
2,6,91.667,-481.93276609841007,0.0,0.0,1,Optimal (tree empty),3
3,6,92.587,-495.68266186258535,0.0,0.0,1,Optimal (tree empty),3
1,7,847.813,-429.8024092725291,0.9305744438453871,0.002165121515769188,11,Optimal (tolerance reached),43
2,7,205.445,-472.32085223404783,3.837099913354848,0.008123926553751772,3,Optimal (tolerance reached),10
3,7,349.685,-439.5435209749558,0.0,0.0,3,Optimal (tree empty),16
1,8,310.133,-456.14136888070027,0.0,0.0,3,Optimal (tree empty),18
2,8,1894.95,-420.388405761544,5.5604327335136645,0.013226893647175648,17,Time limit reached,85
3,8,915.079,-451.99061973225645,4.2705509375715,0.00944831762239054,13,Optimal (tolerance reached),51
