time_boscia,seed,num_v,termination_boscia,solution_boscia,lb_boscia,rel_gap_boscia,termination_afw,time_afw,afw_solution,rel_gap_afw,termination_no_ws,time_no_ws,solution_no_ws,rel_gap_no_ws,termination_no_as,time_no_as,solution_no_as,rel_gap_no_as,termination_no_ss,time_no_ss,solution_no_ss,rel_gap_no_ss,termination_ipopt,time_ipopt,rel_gap_ipopt,solution_ipopt,termination_pavito,time_pavito,solution_pavito,termination_shot,time_shot,solution_shot,solution_scip,termination_scip,time_scip,rel_gap_scip,time,solution,dual_gap,rel_dual_gap,number_nodes,termination,ncalls,time_sc,solution_sc,termination_sc,lb_sc,rel_gap_sc,rel_gap_boscia_sc,optimal_scip,optimal_ipopt,optimal_boscia,optimal_pavito,optimal_shot,rel_gap_pavito
6.559,1,4,1,-12.113849111290794,-12.233757337863798,0.009898441483908135,1,2.371,-12.113849111290788,0.009856344772439943,1,3.86,-12.113849111290794,0.009954792977199547,1,3.86,-12.113849111290794,0.009954792977199547,1,3.86,-12.113849111290794,0.009954792977199547,1,8.361,0.01,-12.113849351830055,0,1800.0,NaN,1,1.5433309078216553,9.637714394815541,-12.113848321343617,1,18.767482,0.01,3.781,-12.113849111290794,0.0026155262368874332,0.00021591206996706064,2,Optimal (tolerance reached),33,3.781,-12.113849111290794,1,-12.116464637527681,0.009898441483908135,0.00021591206996706064,1,1,1,0,0,Inf
2.074,2,4,1,-13.818306679619157,-13.953740706611612,0.009801058127636462,1,1.143,-13.818306679619157,0.009714985395333664,1,1.278,-13.818306679619157,0.009926260526934034,1,1.278,-13.818306679619157,0.009926260526934034,1,1.278,-13.818306679619157,0.009926260526934034,1,1.506,0.016,-13.738233072526858,0,1800.0,NaN,1,1.5168919563293457,7.3309299105077255,-13.239805603101097,1,9.395193,0.054,0.257,-13.818306679619157,0.008215965376244583,0.0005945710691428235,3,Optimal (tolerance reached),22,0.257,-13.818306679619157,1,-13.826522644995402,0.009801058127636462,0.0005945710691428235,0,0,1,0,0,Inf
3.87,3,4,1,-17.10798268588117,-17.276522442673834,0.009851527201495068,1,2.307,-17.10798268588114,0.009873800802696685,1,2.595,-17.10798268588117,0.009795687108117391,1,2.595,-17.10798268588117,0.009795687108117391,1,2.595,-17.10798268588117,0.009795687108117391,1,2.593,0.01,-17.107982954490794,1,8.478377103805542,2.9779410619826336,1,1.5752580165863037,2.9779432005600555,-17.10798224001847,1,11.665608,0.01,0.21,-17.10798268588117,0.005949058235483307,0.00034773581109553785,2,Optimal (tolerance reached),32,0.21,-17.10798268588117,1,-17.113931744116652,0.009851527201495068,0.00034773581109553785,1,1,1,0,0,Inf
6.683,1,5,1,-16.024791442388214,-16.184612395563,0.009973356205562476,1,6.314,-16.024791442388192,0.009953200550386445,1,7.902,-16.024791442388214,0.009924783930567189,1,7.902,-16.024791442388214,0.009924783930567189,1,7.902,-16.024791442388214,0.009924783930567189,1,6.62,0.01,-16.02479938013031,0,1800.0,NaN,1,1.6540629863739014,5.904842862653144,-15.965421921280814,1,210.323785,0.014,0.146,-16.024791442388214,0.008164266991091296,0.0005094772696695113,2,Optimal (tolerance reached),26,0.146,-16.024791442388214,1,-16.032955709379305,0.009973356205562476,0.0005094772696695113,0,1,1,0,0,Inf
3.315,2,5,1,-16.770924607570954,-16.93027722340123,0.009501719169278165,1,3.63,-16.77092460757095,0.009476732560961227,1,3.893,-16.770924607570954,0.009459829686393521,1,3.893,-16.770924607570954,0.009459829686393521,1,3.893,-16.770924607570954,0.009459829686393521,1,4.258,0.01,-16.77092484925972,0,1800.0,NaN,1,2.025718927383423,6.9287790746440265,-16.770924049969306,1,63.048242,0.01,0.124,-16.770924607570954,0.007735994520096767,0.0004612741814249455,2,Optimal (tolerance reached),26,0.124,-16.770924607570954,1,-16.77866060209105,0.009501719169278165,0.0004612741814249455,1,1,1,0,0,Inf
56.788,3,5,1,-6.397104136500236,-6.460703784082606,0.009941943452114,1,40.209,-6.397104136500245,0.009968597964295773,1,58.025,-6.397104136500236,0.009937579901296113,1,58.025,-6.397104136500236,0.009937579901296113,1,58.025,-6.397104136500236,0.009937579901296113,1,33.415,0.01,-6.397104339626162,1,72.21600604057312,12.629498878163878,1,2.0040040016174316,12.629509396600257,-6.39710386041034,0,1800.000591,0.01,0.151,-6.397104136500236,0.005610207653118593,0.0008769917658692137,3,Optimal (tolerance reached),31,0.151,-6.397104136500236,1,-6.402714344153354,0.009941943452114,0.0008769917658692137,1,1,1,0,0,Inf
258.235,1,6,1,-5.929927997509199,-5.989126409302667,0.009982989982059431,1,211.202,-5.9299279975091945,0.009996686569613493,1,320.034,-5.929927997509199,0.009977766251574231,1,320.034,-5.929927997509199,0.009977766251574231,1,320.034,-5.929927997509199,0.009977766251574231,1,110.61,0.01,-5.929928170323111,0,1800.0,NaN,1,1.91920804977417,11.360012459248004,-5.3324866484291755,0,1800.003321,0.123,0.138,-5.929927997509199,0.01226225400185843,0.002067858835218413,3,Optimal (tolerance reached),27,0.138,-5.929927997509199,1,-5.942190251511057,0.009982989982059431,0.002067858835218413,0,1,1,0,0,Inf
4.204,2,6,1,-18.577450506583123,-18.751872400939256,0.009388903730052979,1,3.367,-18.577450506583126,0.009349381036556616,1,5.058,-18.577450506583123,0.00930888711647802,1,5.058,-18.577450506583123,0.00930888711647802,1,5.058,-18.577450506583123,0.00930888711647802,1,3.742,0.009,-18.57745066412525,0,1800.0,NaN,1,1.4441609382629395,1.265392108427875,-18.57745040243455,1,82.195731,0.009,0.173,-18.577450506583123,0.006202268433249003,0.00033386004344628244,2,Optimal (tolerance reached),27,0.173,-18.577450506583123,1,-18.583652775016372,0.009388903730052979,0.00033386004344628244,1,1,1,0,0,Inf
153.266,3,6,1,-19.86838673248311,-20.066818221926333,0.009987297515142718,1,116.099,-19.86838673248307,0.009972339021085352,1,161.991,-19.86838673248311,0.009972140451183642,1,161.991,-19.86838673248311,0.009972140451183642,1,161.991,-19.86838673248311,0.009972140451183642,1,87.938,0.015,-19.769166010137525,0,1800.0,NaN,1,1.4524800777435303,3.058794920661021,-19.76902346524797,0,1800.002575,0.015,0.213,-19.86838673248311,0.005573704254068446,0.00028053129472036686,2,Optimal (tolerance reached),39,0.213,-19.86838673248311,1,-19.87396043673718,0.009987297515142718,0.00028053129472036686,0,0,1,0,0,Inf
10.27,1,7,1,-8.400099626621149,-8.482406861613867,0.00979836414461979,1,7.784,-8.400099626621149,0.009802645421977058,1,13.064,-8.400099626621149,0.00973975321850946,1,13.064,-8.400099626621149,0.00973975321850946,1,13.064,-8.400099626621149,0.00973975321850946,1,5.724,0.01,-8.400099809964301,0,1800.0,NaN,1,1.3994028568267822,23.49754522704436,-8.400099253829357,1,216.99702,0.01,0.421,-8.400099626621149,0.004507733524823365,0.0005366285788489574,2,Optimal (tolerance reached),39,0.421,-8.400099626621149,1,-8.404607360145972,0.00979836414461979,0.0005366285788489574,1,1,1,0,0,Inf
