dimension,k,Ns,timeBoscia,terminationBoscia,relGapBoscia,timeScip,terminationScip,relGapScip,timeIpopt,terminationIpopt,relGapIpopt,timeNoWs,terminationNoWs,relGapNoWs,timeNoAs,terminationNoAs,relGapNoAs,timeNoSs,terminationNoSs,relGapNoSs,timeAfw,terminationAfw,relGapAfw,optimalBoscia,optimalIpopt,optimalScip,NumInstances,terminationBosciaRel,terminationScipRel,terminationNoWsRel,terminationNoAsRel,terminationNoSsRel,terminationAfwRel,terminationIpoptRel,BosciaGeoMeanIntersection,NoWsGeoMeanIntersection,NoAsGeoMeanIntersection,NoSsGeoMeanIntersection,AfwGeoMeanIntersection,BosciaGeoMeanIntersectionSolvers,ScipGeoMeanIntersectionSolvers,IpoptGeoMeanIntersectionSolvers
50,25,0.1,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,10.0,10.0,10.0,10,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0
70,35,0.1,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,10.0,10.0,10.0,10,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0
90,45,0.1,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,0,10,0.0,10.0,10.0,10.0,10,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0
50,25,5.0,10,10,0.0,70,3,Inf,513,5,-57.0,6,10,0.0,6,10,0.0,9,10,0.0,13,10,0.0,2.0,8.0,0.0,10,100,30,100,100,100,100,50,10,6,6,9,13,,,
50,25,10.0,7,10,0.0,528,1,Inf,199,5,-46.0,6,10,0.0,6,10,0.0,6,10,0.0,8,10,0.0,0.0,10.0,0.0,10,100,10,100,100,100,100,50,7,6,6,6,8,,,
70,35,1.0,413,3,1.0,0,10,217.0,1800,0,Inf,374,6,1.0,210,7,1.0,364,3,1.0,659,2,1.0,10.0,0.0,0.0,10,30,100,60,70,30,20,0,17,62,61,15,9,,,
70,35,5.0,12,10,0.0,542,1,Inf,1800,0,Inf,8,10,0.0,7,10,0.0,26,9,4.0,15,10,0.0,10.0,0.0,0.0,10,100,10,100,100,90,100,0,11,8,7,16,15,,,
70,35,10.0,10,10,0.0,1800,0,Inf,161,5,-47.0,9,10,0.0,9,10,0.0,11,10,0.0,10,10,0.0,2.0,8.0,0.0,10,100,0,100,100,100,100,50,10,9,9,11,10,,,
90,45,1.0,401,3,2.0,2,6,1650.0,1800,0,Inf,102,8,1.0,100,8,0.0,204,4,3.0,631,2,0.0,10.0,0.0,0.0,10,30,60,80,80,40,20,0,11,25,13,7,10,,,
90,45,5.0,14,10,0.0,1800,0,Inf,1800,0,Inf,8,10,0.0,9,10,0.0,14,10,0.0,21,10,0.0,10.0,0.0,0.0,10,100,0,100,100,100,100,0,14,8,9,14,21,,,
90,45,10.0,16,10,0.0,1800,0,Inf,1051,2,-37.0,12,10,0.0,12,10,0.0,14,10,0.0,14,10,0.0,7.0,3.0,0.0,10,100,0,100,100,100,100,20,16,12,12,14,14,,,
