seed,dimension,p,k,time,solution,termination,calls
1,16,80,4.0,0.031716999999999995,3.6325891279505873,OPTIMAL,9
2,16,80,4.0,0.053298,3.326877201499783,OPTIMAL,12
3,16,80,4.0,0.019253,5.6438036904427795,OPTIMAL,4
4,16,80,4.0,0.024041,4.245831206315398,OPTIMAL,8
5,16,80,4.0,0.022109,4.062518125622481,OPTIMAL,6
6,16,80,4.0,0.021491,4.1975528552310895,OPTIMAL,5
7,16,80,4.0,0.022407,5.392987866671327,OPTIMAL,7
8,16,80,4.0,0.037769,2.699199644590052,OPTIMAL,26
9,16,80,4.0,0.021124,5.15050927277463,OPTIMAL,5
10,16,80,4.0,0.033675,3.3500949866436396,OPTIMAL,19
1,17,85,4.0,0.025807,3.9318285924645666,OPTIMAL,6
2,17,85,4.0,0.026007,3.3626303201506538,OPTIMAL,14
3,17,85,4.0,0.021307,5.954793324743792,OPTIMAL,6
4,17,85,4.0,0.023783,4.735210053230218,OPTIMAL,10
5,17,85,4.0,0.045569,4.521036093720938,OPTIMAL,44
6,17,85,4.0,0.021537999999999998,3.8713278025591165,OPTIMAL,5
7,17,85,4.0,0.02984,5.002835146122812,OPTIMAL,14
8,17,85,4.0,0.079362,2.816026492659157,OPTIMAL,81
9,17,85,4.0,0.021109,5.182479059195712,OPTIMAL,4
10,17,85,4.0,0.026861,2.8388123681366704,OPTIMAL,8
1,18,90,4.0,0.034883,3.6956918471477334,OPTIMAL,17
2,18,90,4.0,0.025101,3.5608454112177244,OPTIMAL,16
3,18,90,4.0,0.020316,5.974410440173242,OPTIMAL,5
4,18,90,4.0,0.039570999999999995,4.610415186553024,OPTIMAL,42
5,18,90,4.0,0.028034,4.719926960490595,OPTIMAL,18
6,18,90,4.0,0.021814999999999998,4.017813699639336,OPTIMAL,4
7,18,90,4.0,0.028437999999999998,5.4007983357976705,OPTIMAL,10
8,18,90,4.0,0.033590999999999996,2.8306059980892146,OPTIMAL,29
9,18,90,4.0,0.030046,5.944449639703654,OPTIMAL,9
10,18,90,4.0,0.024693,3.1070465543047643,OPTIMAL,6
1,19,95,4.0,0.031004,4.249004542252306,OPTIMAL,9
2,19,95,4.0,0.027767,4.167851058831061,OPTIMAL,10
3,19,95,4.0,0.021311,6.273947654706995,OPTIMAL,6
4,19,95,4.0,0.023197,5.016987780770689,OPTIMAL,7
5,19,95,4.0,0.027783,4.831199849716047,OPTIMAL,8
6,19,95,4.0,0.024502,4.09423257368029,OPTIMAL,6
7,19,95,4.0,0.021879,5.903883740259831,OPTIMAL,6
8,19,95,4.0,0.046022999999999994,2.8375319054172095,OPTIMAL,29
9,19,95,4.0,0.018203999999999998,5.917653019825304,OPTIMAL,6
10,19,95,4.0,0.029254,3.4512082422525046,OPTIMAL,9
1,20,100,4.0,0.073335,4.094273721776183,OPTIMAL,9
2,20,100,4.0,0.064764,4.130157488030617,OPTIMAL,9
3,20,100,4.0,0.042799,6.43175385732042,OPTIMAL,5
4,20,100,4.0,0.051677999999999995,4.800626780904599,OPTIMAL,5
5,20,100,4.0,0.085018,5.2725388254138075,OPTIMAL,23
6,20,100,4.0,0.09036799999999999,4.521609263020935,OPTIMAL,8
7,20,100,4.0,0.069142,5.951736611786275,OPTIMAL,7
8,20,100,4.0,0.075525,2.9555758742749325,OPTIMAL,16
9,20,100,4.0,0.06759799999999999,6.5424719551968025,OPTIMAL,9
10,20,100,4.0,0.070425,3.5806530859932204,OPTIMAL,9
1,21,105,5.0,0.09067299999999999,3.640478099832611,OPTIMAL,18
2,21,105,5.0,0.09545,4.332226297079521,OPTIMAL,7
3,21,105,5.0,0.08073899999999999,7.253522035988734,OPTIMAL,18
4,21,105,5.0,0.059720999999999996,5.065947525000495,OPTIMAL,5
5,21,105,5.0,0.060981,4.784641411250658,OPTIMAL,13
6,21,105,5.0,0.062792,4.36832137688781,OPTIMAL,6
7,21,105,5.0,0.061812,6.008044061962864,OPTIMAL,6
8,21,105,5.0,0.103403,3.0434030175223725,OPTIMAL,47
9,21,105,5.0,0.07270499999999999,5.913916994831472,OPTIMAL,5
10,21,105,5.0,0.059188,2.952179101812403,OPTIMAL,4
1,22,110,5.0,0.084407,4.003665104291843,OPTIMAL,21
2,22,110,5.0,0.097915,4.3881706223780315,OPTIMAL,41
3,22,110,5.0,0.078194,7.246909361053823,OPTIMAL,24
4,22,110,5.0,0.12040999999999999,5.264523089463333,OPTIMAL,55
5,22,110,5.0,0.13726,5.924335692517859,OPTIMAL,63
6,22,110,5.0,0.061633,3.8065751522920994,OPTIMAL,4
7,22,110,5.0,0.07901799999999999,6.24629843532106,OPTIMAL,8
8,22,110,5.0,0.10701,3.2460247264488675,OPTIMAL,31
9,22,110,5.0,0.060208,6.249873837237353,OPTIMAL,7
10,22,110,5.0,0.067734,2.8945354777339336,OPTIMAL,7
1,23,115,5.0,0.08025499999999999,4.63202989081658,OPTIMAL,6
2,23,115,5.0,0.136206,4.5861886580017055,OPTIMAL,58
3,23,115,5.0,0.060309999999999996,7.052056064554606,OPTIMAL,6
4,23,115,5.0,0.147759,5.595730642043194,OPTIMAL,65
5,23,115,5.0,0.08895399999999999,5.377583854022187,OPTIMAL,20
6,23,115,5.0,0.068454,4.391069895466217,OPTIMAL,7
7,23,115,5.0,0.122136,6.349970447162822,OPTIMAL,17
8,23,115,5.0,0.21800699999999998,3.731415863135455,OPTIMAL,99
9,23,115,5.0,0.066554,6.656611574734058,OPTIMAL,7
10,23,115,5.0,0.07152399999999999,3.0814856643915434,OPTIMAL,6
1,24,120,5.0,0.08573499999999999,4.508241666958391,OPTIMAL,15
2,24,120,5.0,0.165883,4.8022337282875425,OPTIMAL,57
3,24,120,5.0,0.085411,7.347816678265415,OPTIMAL,19
4,24,120,5.0,0.068392,5.650886571996171,OPTIMAL,7
5,24,120,5.0,0.17216099999999998,5.958664652887787,OPTIMAL,81
6,24,120,5.0,0.07531299999999999,4.585402529246637,OPTIMAL,6
7,24,120,5.0,0.073602,6.31312768126302,OPTIMAL,6
8,24,120,5.0,0.129428,3.661294346880025,OPTIMAL,41
9,24,120,5.0,0.07832399999999999,6.890730069652095,OPTIMAL,8
10,24,120,5.0,0.081466,3.4135960765468054,OPTIMAL,15
1,25,125,5.0,0.090081,4.663495347036188,OPTIMAL,25
2,25,125,5.0,0.18356899999999998,4.957118835006391,OPTIMAL,54
3,25,125,5.0,0.075982,7.129311661531811,OPTIMAL,7
4,25,125,5.0,0.075497,5.9515176752442445,OPTIMAL,7
5,25,125,5.0,0.10416199999999999,6.293034789139148,OPTIMAL,30
6,25,125,5.0,0.055482,4.108119140627277,OPTIMAL,6
7,25,125,5.0,0.082257,5.949912466406284,OPTIMAL,6
8,25,125,5.0,0.129956,3.486303925427676,OPTIMAL,46
9,25,125,5.0,0.066885,7.035292057826351,OPTIMAL,7
10,25,125,5.0,0.077539,3.5298064195637693,OPTIMAL,8
1,26,130,6.0,0.12857,4.713767516604743,OPTIMAL,29
2,26,130,6.0,0.20088499999999998,5.773597986722731,OPTIMAL,66
3,26,130,6.0,0.097452,7.6516278110599485,OPTIMAL,19
4,26,130,6.0,0.073956,5.726591612726492,OPTIMAL,7
5,26,130,6.0,0.168008,6.561268055421416,OPTIMAL,50
6,26,130,6.0,0.071702,4.868652710814709,OPTIMAL,6
7,26,130,6.0,0.095132,6.569696184092821,OPTIMAL,7
8,26,130,6.0,0.204009,3.795443672966906,OPTIMAL,87
9,26,130,6.0,0.07193999999999999,6.733474412996077,OPTIMAL,6
10,26,130,6.0,0.124443,3.3647182587390305,OPTIMAL,42
1,27,135,6.0,0.18972799999999998,4.405267445789306,OPTIMAL,61
2,27,135,6.0,0.107404,4.973282689136193,OPTIMAL,18
3,27,135,6.0,0.166679,7.961353105478947,OPTIMAL,63
4,27,135,6.0,0.08932999999999999,5.844086271159474,OPTIMAL,7
5,27,135,6.0,0.19539399999999998,6.193241026156895,OPTIMAL,38
6,27,135,6.0,0.09197899999999999,4.694355225907363,OPTIMAL,15
7,27,135,6.0,0.104348,6.809368799246123,OPTIMAL,6
8,27,135,6.0,0.23571,3.7039856333514525,OPTIMAL,81
9,27,135,6.0,0.08582,6.7782210834851275,OPTIMAL,6
10,27,135,6.0,0.154614,3.742971816631809,OPTIMAL,55
1,28,140,6.0,0.117128,4.172322728884468,OPTIMAL,31
2,28,140,6.0,0.152251,4.880181226216714,OPTIMAL,39
3,28,140,6.0,0.086725,7.960120970626139,OPTIMAL,9
4,28,140,6.0,0.215141,6.273184552722633,OPTIMAL,95
5,28,140,6.0,0.262175,7.046966985857807,OPTIMAL,124
6,28,140,6.0,0.08595699999999999,4.81983102250231,OPTIMAL,9
7,28,140,6.0,0.133521,6.805616619240714,OPTIMAL,47
8,28,140,6.0,0.207136,4.039256770083838,OPTIMAL,69
9,28,140,6.0,0.091748,7.612874377131874,OPTIMAL,6
10,28,140,6.0,0.118215,3.3401904422781636,OPTIMAL,30
1,29,145,6.0,0.190908,5.001018625201489,OPTIMAL,69
2,29,145,6.0,0.175978,5.755475732370001,OPTIMAL,47
3,29,145,6.0,0.160523,7.734152366434584,OPTIMAL,45
4,29,145,6.0,0.45048099999999996,6.337776952628885,OPTIMAL,133
5,29,145,6.0,0.222244,6.377627812538742,OPTIMAL,72
6,29,145,6.0,0.119071,5.421095295925636,OPTIMAL,26
7,29,145,6.0,0.12882,6.6787865476244095,OPTIMAL,27
8,29,145,6.0,0.21057199999999998,4.494017574306597,OPTIMAL,64
9,29,145,6.0,0.092253,7.55908360273058,OPTIMAL,7
10,29,145,6.0,0.24079899999999999,3.9021598048612662,OPTIMAL,60
1,30,150,6.0,0.22860999999999998,4.944589430750977,OPTIMAL,83
2,30,150,6.0,0.09851399999999999,5.45497802395002,OPTIMAL,13
3,30,150,6.0,0.12161699999999999,8.335072565202644,OPTIMAL,41
4,30,150,6.0,0.249796,6.2665079922117055,OPTIMAL,94
5,30,150,6.0,0.131658,7.2687603717991465,OPTIMAL,29
6,30,150,6.0,0.102534,5.821936421217403,OPTIMAL,15
7,30,150,6.0,0.162013,6.763155482684152,OPTIMAL,40
8,30,150,6.0,0.202395,3.8861700485791966,OPTIMAL,41
9,30,150,6.0,0.085908,8.140819882240146,OPTIMAL,6
10,30,150,6.0,0.18869899999999998,4.0338811577995415,OPTIMAL,47
1,15,75,3.0,1.019709,3.606724134253159,OPTIMAL,6
2,15,75,3.0,0.01897,3.4415595100112117,OPTIMAL,6
3,15,75,3.0,0.016656,5.624186575013328,OPTIMAL,4
4,15,75,3.0,0.020191999999999998,4.040172421343416,OPTIMAL,6
5,15,75,3.0,0.020996,3.605183469908247,OPTIMAL,6
6,15,75,3.0,0.020548999999999998,3.352257202420142,OPTIMAL,6
7,15,75,3.0,0.022192999999999997,5.032000370072083,OPTIMAL,5
8,15,75,3.0,1800.009389,4.081978299492437,TIME_LIMIT,40655
9,15,75,3.0,0.019871,5.618540127219655,OPTIMAL,6
10,15,75,3.0,0.022317,3.135600932276933,OPTIMAL,7
1,16,80,4.0,0.030039999999999997,3.6325891279505873,OPTIMAL,9
2,16,80,4.0,1800.013801,3.566359000583607,TIME_LIMIT,38775
3,16,80,4.0,0.020801,5.6438036904427795,OPTIMAL,4
4,16,80,4.0,0.022812,4.245831206315398,OPTIMAL,8
5,16,80,4.0,0.020371999999999998,4.062518125622481,OPTIMAL,6
6,16,80,4.0,0.020269,4.1975528552310895,OPTIMAL,5
7,16,80,4.0,0.0223,5.392987866671327,OPTIMAL,7
8,16,80,4.0,1800.0029,5.660162195097656,TIME_LIMIT,39480
9,16,80,4.0,0.021906,5.15050927277463,OPTIMAL,5
10,16,80,4.0,1800.006729,5.005616514685956,TIME_LIMIT,39450
1,17,85,4.0,0.026699999999999998,3.9318285924645666,OPTIMAL,6
2,17,85,4.0,1800.00663,4.4917475188081735,TIME_LIMIT,38468
3,17,85,4.0,0.021970999999999997,5.954793324743792,OPTIMAL,6
4,17,85,4.0,0.024083999999999998,4.735210053230218,OPTIMAL,10
5,17,85,4.0,1800.02132,5.2076805762244,TIME_LIMIT,38431
6,17,85,4.0,0.022463999999999998,3.8713278025591165,OPTIMAL,5
7,17,85,4.0,1800.014274,5.788185567195342,TIME_LIMIT,38427
8,17,85,4.0,1800.037547,3.3465457807849326,TIME_LIMIT,38498
9,17,85,4.0,0.02272,5.182479059195712,OPTIMAL,4
10,17,85,4.0,0.027065,2.8388123681366704,OPTIMAL,8
1,18,90,4.0,1800.027757,4.682193256365666,TIME_LIMIT,36973
2,18,90,4.0,1800.034509,4.7431205473739535,TIME_LIMIT,37214
3,18,90,4.0,0.021450999999999998,5.974410440173242,OPTIMAL,5
4,18,90,4.0,1800.007216,5.397786142260884,TIME_LIMIT,37213
5,18,90,4.0,1800.025396,5.459065806708966,TIME_LIMIT,36706
6,18,90,4.0,0.027247,4.017813699639336,OPTIMAL,4
7,18,90,4.0,0.028603999999999997,5.4007983357976705,OPTIMAL,10
8,18,90,4.0,1800.01186,5.698073056663123,TIME_LIMIT,36951
9,18,90,4.0,0.031233999999999998,5.944449639703654,OPTIMAL,9
10,18,90,4.0,0.025438,3.1070465543047643,OPTIMAL,6
1,19,95,4.0,0.031314999999999996,4.249004542252306,OPTIMAL,9
2,19,95,4.0,0.028496999999999998,4.167851058831061,OPTIMAL,10
3,19,95,4.0,0.021235999999999998,6.273947654706995,OPTIMAL,6
4,19,95,4.0,0.023864,5.016987780770689,OPTIMAL,7
5,19,95,4.0,0.028412999999999997,4.831199849716047,OPTIMAL,8
6,19,95,4.0,0.024484,4.09423257368029,OPTIMAL,6
7,19,95,4.0,0.021873999999999998,5.903883740259831,OPTIMAL,6
8,19,95,4.0,1800.019913,4.783639482591607,TIME_LIMIT,36293
9,19,95,4.0,0.018868,5.917653019825304,OPTIMAL,6
10,19,95,4.0,0.029726,3.4512082422525046,OPTIMAL,9
1,20,100,4.0,0.055192,4.094273721776183,OPTIMAL,9
2,20,100,4.0,0.060181,4.130157488030617,OPTIMAL,9
3,20,100,4.0,0.048338,6.43175385732042,OPTIMAL,5
4,20,100,4.0,0.05146,4.800626780904599,OPTIMAL,5
5,20,100,4.0,1800.024908,6.262690739381896,TIME_LIMIT,29420
6,20,100,4.0,0.063555,4.521609263020935,OPTIMAL,8
7,20,100,4.0,0.07192799999999999,5.951736611786275,OPTIMAL,7
