seed,dimension,p,k,Ns,time,solution,termination,calls
1,50,50,25.0,0.1,0.34021799999999996,-222.7156054633275,OPTIMAL,1
1,50,50,25.0,1.0,0.01512,2458.3525759205736,OPTIMAL,2
1,50,50,25.0,10.0,0.032300999999999996,Inf,INFEASIBLE,2
2,50,50,25.0,0.1,0.013127999999999999,-302.00159289870385,OPTIMAL,1
2,50,50,25.0,1.0,0.009396999999999999,487.6415995051744,OPTIMAL,2
1,50,50,25.0,0.1,0.326492,-222.7156054633275,OPTIMAL,1
1,50,50,25.0,1.0,0.014691,2458.3525759205736,OPTIMAL,2
1,50,50,25.0,10.0,0.008492,Inf,INFEASIBLE,2
2,50,50,25.0,0.1,0.009524999999999999,-302.00159289870385,OPTIMAL,1
2,50,50,25.0,1.0,0.009796,487.6415995051744,OPTIMAL,2
2,50,50,25.0,10.0,0.008435,Inf,INFEASIBLE,2
3,50,50,25.0,0.1,0.009486,-853.8272777602954,OPTIMAL,1
3,50,50,25.0,1.0,0.009101,8600.103330675436,OPTIMAL,2
3,50,50,25.0,10.0,0.008365,Inf,INFEASIBLE,2
4,50,50,25.0,0.1,0.009319,-773.7579916614262,OPTIMAL,1
4,50,50,25.0,1.0,0.009212999999999999,825.0320580932837,OPTIMAL,2
4,50,50,25.0,10.0,0.008024,Inf,INFEASIBLE,2
5,50,50,25.0,0.1,0.00942,-37.879343832756625,OPTIMAL,1
5,50,50,25.0,1.0,0.008453,813.2348392995648,OPTIMAL,2
5,50,50,25.0,10.0,0.00835,Inf,INFEASIBLE,2
6,50,50,25.0,0.1,0.009434,-101.23506361058239,OPTIMAL,1
6,50,50,25.0,1.0,0.009087999999999999,5274.631728326583,OPTIMAL,2
6,50,50,25.0,10.0,0.008406,Inf,INFEASIBLE,2
7,50,50,25.0,0.1,0.009738,-541.6138774625181,OPTIMAL,1
7,50,50,25.0,1.0,0.010048999999999999,-531.569245957497,OPTIMAL,2
7,50,50,25.0,10.0,0.008901,Inf,INFEASIBLE,2
8,50,50,25.0,0.1,0.010177,-511.98607096648544,OPTIMAL,1
8,50,50,25.0,1.0,0.009993,1952.1270254932215,OPTIMAL,2
8,50,50,25.0,10.0,0.009193,Inf,INFEASIBLE,2
9,50,50,25.0,0.1,0.009259,-102.22410050053469,OPTIMAL,1
9,50,50,25.0,1.0,0.009169,1206.2573650901252,OPTIMAL,2
9,50,50,25.0,10.0,0.007558,1.862375743753277e19,OPTIMAL,1
10,50,50,25.0,0.1,0.009963999999999999,-21.349478762784095,OPTIMAL,1
10,50,50,25.0,1.0,0.009994,67666.6365116638,OPTIMAL,2
10,50,50,25.0,10.0,0.008409999999999999,Inf,INFEASIBLE,2
1,70,70,35.0,0.1,0.009597999999999999,-2797.8213805446567,OPTIMAL,1
1,70,70,35.0,1.0,0.009932,1.3097760596424778e18,OPTIMAL,2
1,70,70,35.0,10.0,0.011384,Inf,INFEASIBLE,2
2,70,70,35.0,0.1,0.009418,-276.76328207083367,OPTIMAL,1
