seed,dimension,p,k,Ns,time,solution,dual_gap,rel_dual_gap,termination,ncalls
1,50,50,25.0,0.1,5.481,-222.7156054633275,0.0,0.0,OPTIMAL,4
1,50,50,25.0,1.0,1802.215,-821.346904365286,14.26544357280659,0.01736835373334794,Time limit reached,35828
1,50,50,25.0,5.0,5.66,-536.6399743703427,8.137317308865022e-8,1.5163457247874246e-10,OPTIMAL,113
1,50,50,25.0,10.0,5.567,-536.5953923907999,8.100823833956383e-8,1.5096707778020933e-10,OPTIMAL,92
2,50,50,25.0,0.1,0.016,-302.01535887823866,0.0,0.0,OPTIMAL,4
2,50,50,25.0,1.0,1801.686,-1202.658423417937,18.57180097157243,0.015442290686986295,Time limit reached,37261
2,50,50,25.0,5.0,9.119,-807.0351193894104,8.127392447931925e-8,1.007068001462065e-10,OPTIMAL,227
2,50,50,25.0,10.0,8.01,-844.4246111264736,1.2326438536547357e-7,1.4597441114493012e-10,OPTIMAL,103
3,50,50,25.0,0.1,0.016,-853.8272777602954,0.0,0.0,OPTIMAL,4
3,50,50,25.0,1.0,1801.125,-2877.769359436062,16.987055222788968,0.00590285498978202,Time limit reached,31710
3,50,50,25.0,5.0,8.186,-1741.9277009614436,4.370190254121553e-8,2.508824133004751e-11,OPTIMAL,113
3,50,50,25.0,10.0,7.504,-2021.0175781007547,1.1702968549798243e-7,5.7906317473973053e-11,OPTIMAL,80
4,50,50,25.0,0.1,0.015,-773.7579916614262,0.0,0.0,OPTIMAL,4
4,50,50,25.0,1.0,1801.216,-2689.227584637641,17.542574280141707,0.006523276192894428,Time limit reached,36673
4,50,50,25.0,5.0,139.424,-1780.2059751228712,4.635171535483096e-8,2.6037276586284757e-11,OPTIMAL,3090
4,50,50,25.0,10.0,7.994,-1842.1631048970326,9.695168046164326e-8,5.2629259702311956e-11,OPTIMAL,80
5,50,50,25.0,0.1,0.015,-37.879343832756625,0.0,0.0,OPTIMAL,4
5,50,50,25.0,1.0,1801.858,-97.18235300686952,5.053522915651797,0.052000417352465,Time limit reached,95295
5,50,50,25.0,5.0,8.428,-54.992002599176246,4.996351066210991e-8,9.085595777677378e-10,OPTIMAL,120
5,50,50,25.0,10.0,5.162,-55.10131986385287,1.74912102579583e-8,3.174372283853902e-10,OPTIMAL,171
6,50,50,25.0,0.1,0.016,-101.23506361058239,0.0,0.0,OPTIMAL,4
6,50,50,25.0,1.0,1804.228,-464.44975370936686,13.369127355982585,0.028784873388798097,Time limit reached,59850
6,50,50,25.0,5.0,8.01,-344.8336567322073,9.708895731819212e-8,2.8155301961603464e-10,OPTIMAL,171
6,50,50,25.0,10.0,5.617,-344.6268411810746,6.801514018661692e-8,1.9735880105426915e-10,OPTIMAL,196
7,50,50,25.0,0.1,0.016,-541.6138774625181,0.0,0.0,OPTIMAL,4
7,50,50,25.0,1.0,1803.423,-1831.6257898734043,3.270568695855445,0.0017856096556062883,Time limit reached,28988
7,50,50,25.0,5.0,7.447,-1571.2407154801654,1.4722854757565074e-7,9.370209550015271e-11,OPTIMAL,83
7,50,50,25.0,10.0,7.706,-1277.9318323752864,9.683390089776367e-8,7.577391723452019e-11,OPTIMAL,71
8,50,50,25.0,0.1,0.015,-511.98607096648544,0.0,0.0,OPTIMAL,4
8,50,50,25.0,1.0,1803.531,-2291.9099044446416,24.20568396092949,0.010561359289904038,Time limit reached,38042
8,50,50,25.0,5.0,11.498,-1543.7903986283338,3.101695256191306e-8,2.0091427300928796e-11,OPTIMAL,158
8,50,50,25.0,10.0,8.334,-1666.5088508066794,4.039543455292005e-8,2.423955596357409e-11,OPTIMAL,106
9,50,50,25.0,0.1,0.015,-102.22410050053469,0.0,0.0,OPTIMAL,4
9,50,50,25.0,1.0,1803.405,-244.50916920947623,2.891284274576293,0.011824850102448584,Time limit reached,49775
9,50,50,25.0,5.0,5.81,-148.45242534922974,6.523788442791556e-8,4.3945313978161997e-10,OPTIMAL,147
9,50,50,25.0,10.0,5.678,-149.61383761864417,7.22510833384149e-8,4.82917118419074e-10,OPTIMAL,110
10,50,50,25.0,0.1,0.014,-21.349478762784095,0.0,0.0,OPTIMAL,4
10,50,50,25.0,1.0,1800.629,-14.417809199726651,38.68739550958669,2.6833061093858954,Time limit reached,126709
10,50,50,25.0,5.0,4.548,-29.488026662298502,3.829967099022724e-8,1.2988210919923896e-9,OPTIMAL,129
10,50,50,25.0,10.0,4.379,-32.360821263858696,8.456274258605845e-8,2.6131210297959912e-9,OPTIMAL,149
1,70,70,35.0,0.1,0.021,-2797.8213805446567,0.0,0.0,OPTIMAL,4
1,70,70,35.0,1.0,1802.389,-7221.06427192359,30.459183611406843,0.004218101718030124,Time limit reached,12955
1,70,70,35.0,5.0,18.167,-5553.04257412739,6.006484909448773e-8,1.0816565566116945e-11,OPTIMAL,124
1,70,70,35.0,10.0,9.149,-4676.766159980589,1.0421899787615985e-8,2.228441498058402e-12,OPTIMAL,73
2,70,70,35.0,0.1,0.019,-276.76328207083367,0.0,0.0,OPTIMAL,4
2,70,70,35.0,1.0,1803.533,-623.8900959088718,19.236999122227417,0.030833954967987277,Time limit reached,32109
2,70,70,35.0,5.0,8.598,-429.6176890484231,5.018478077545296e-9,1.1681265007176307e-11,OPTIMAL,102
2,70,70,35.0,10.0,12.177,-449.7981579945612,1.7118293271778384e-7,3.805772204159487e-10,OPTIMAL,95
3,70,70,35.0,0.1,0.02,-146048.30629797274,0.0,0.0,OPTIMAL,4
3,70,70,35.0,1.0,1609.071,-453418.88618059445,0.0,0.0,OPTIMAL,5011
3,70,70,35.0,5.0,12.859,-270888.333930928,3.096647560596466e-8,1.1431454118603938e-13,OPTIMAL,61
3,70,70,35.0,10.0,12.784,-340975.5825761567,1.4383113011717796e-7,4.2182237516979197e-13,OPTIMAL,59
4,70,70,35.0,0.1,0.019,-46348.15535596037,0.0,0.0,OPTIMAL,4
4,70,70,35.0,1.0,6.027,-121442.69026493907,0.1775474355526967,1.461985362522517e-6,OPTIMAL,20
4,70,70,35.0,5.0,25.643,-60760.45674189247,5.523907020688057e-8,9.091286203053659e-13,OPTIMAL,126
4,70,70,35.0,10.0,8.655,-89383.45283569061,6.487243808805943e-8,7.257768191984189e-13,OPTIMAL,55
5,70,70,35.0,0.1,0.02,-3035.668395004075,0.0,0.0,OPTIMAL,4
5,70,70,35.0,1.0,1802.471,-10617.575060635554,19.67028365682563,0.0018526154554586397,Time limit reached,15063
5,70,70,35.0,5.0,8.414,-6698.045349091871,1.7967067833524197e-8,2.6824344860490073e-12,OPTIMAL,85
5,70,70,35.0,10.0,8.416,-7331.126544898022,1.7373167793266475e-8,2.369781463581071e-12,OPTIMAL,74
6,70,70,35.0,0.1,0.02,-3.0386333812987427e6,0.0,0.0,OPTIMAL,4
6,70,70,35.0,1.0,16.188,-1.1846170889893383e7,9610.830923130736,0.0008113027418277632,OPTIMAL,21
6,70,70,35.0,5.0,1800.932,-8.241423943561996e6,3.6031603433538033e6,0.4372011885359333,Time limit reached,5049
6,70,70,35.0,10.0,8.77,-7.633649318769312e6,4.470348358154297e-8,5.856109144498926e-15,OPTIMAL,46
7,70,70,35.0,0.1,0.02,-3386.4677525452216,0.0,0.0,OPTIMAL,4
7,70,70,35.0,1.0,1804.977,-10310.569067394137,205.39061828408558,0.019920395949201995,Time limit reached,11448
7,70,70,35.0,5.0,8.309,-6779.870148959403,9.622453944757581e-8,1.4192681767267278e-11,OPTIMAL,63
7,70,70,35.0,10.0,8.375,-6856.494171644392,6.20748323854059e-8,9.053436177649153e-12,OPTIMAL,70
8,70,70,35.0,0.1,0.021,-1315.312277217477,0.0,0.0,OPTIMAL,4
8,70,70,35.0,1.0,1803.097,-3298.3572760506963,33.81665452149264,0.010252574748962056,Time limit reached,19086
8,70,70,35.0,5.0,17.941,-1955.8950478475037,3.635591383499559e-8,1.8587865373965695e-11,OPTIMAL,175
8,70,70,35.0,10.0,13.059,-2636.5352286640173,1.6729791241232306e-7,6.345369885199528e-11,OPTIMAL,86
9,70,70,35.0,0.1,0.019,-278.068931115756,0.0,0.0,OPTIMAL,4
9,70,70,35.0,1.0,1803.037,-851.8037097047154,24.745036404108987,0.02905016275720031,Time limit reached,30746
9,70,70,35.0,5.0,11.851,-591.3692194905889,1.5388661722681718e-7,2.6022087750758585e-10,OPTIMAL,130
9,70,70,35.0,10.0,11.704,-582.3952971058508,1.360053829557728e-7,2.335276119701456e-10,OPTIMAL,113
10,70,70,35.0,0.1,0.021,-542.5786305155099,0.0,0.0,OPTIMAL,4
10,70,70,35.0,1.0,1804.654,-1547.9098948068456,11.461915967217692,0.007404769493154481,Time limit reached,27370
10,70,70,35.0,5.0,9.054,-1164.8241197097325,2.267142917844467e-9,1.946339262282297e-12,OPTIMAL,115
