seed,numV,timeBoscia,solutionBoscia,terminationBoscia,numberNodesBoscia,dualGapBoscia,lbBoscia,relGapBoscia,timeIpopt,solutionIpopt,terminationIpopt,numberNodesIpopt,relGapIpopt,timeScipOA,solutionScipOA,terminationScipOA,numberNodesScipOA,relGapScipOA,timePavito,solutionPavito,terminationPavito,relGapPavito,timeShot,solutionShot,terminationShot,relGapShot,minimumTime
1,4,6.733,-27719.08006761879,1,4,0.0,-27719.08006761879,0.0,113.981,-27695.8544845582,1,731,0.0008385942045420336,1.885787,-27719.08006761879,1,5,0.0,5.354784965515137,-27719.08006761879,1,0.0,25.090258836746216,-27719.080067618794,1,-1.3124457226636359e-16,1.885787
1,5,3.921,21621.882150493726,1,2,0.0,21621.882150493726,0.0,12.056,21647.933949105223,1,81,0.0012048811676139157,1.324621,21621.882150493726,1,2,0.0,7.85666298866272,21621.882150493726,1,0.0,27.473922967910767,21621.882150493715,1,-5.047634773564765e-16,1.324621
1,6,2.743,39996.88473133878,1,2,0.0,39996.88473133878,0.0,12.193,40050.50432585497,1,77,0.0013405942706876959,1.4682979999999999,39996.88473133878,1,3,0.0,6.54930305480957,39996.88473133878,1,0.0,12.669898986816406,39996.88473133877,1,-3.638262161194016e-16,1.4682979999999999
1,7,2.803,13872.362100414519,1,2,0.0,13872.362100414519,0.0,9.543,13896.025677650963,1,73,0.0017058073502664148,1.171374,13872.362100414519,1,2,0.0,7.082003116607666,13872.362100414519,1,0.0,17.631128072738647,13872.362100414517,1,-1.311232644000479e-16,1.171374
1,8,2.425,41964.88332034584,1,2,0.0,41964.88332034584,0.0,12.576,42019.462083477345,1,79,0.0013005817915628978,1.2815699999999999,41964.88332034584,1,2,0.0,7.640807151794434,41964.883320345856,1,3.467641055327716e-16,15.049988985061646,41964.88332034582,1,-5.201461582991577e-16,1.2815699999999999
2,4,12.626,-21806.95978267962,1,4,0.0,-21806.95978267962,0.0,54.896,-21806.960499123154,1,411,-3.285389347653432e-8,2.108697,-21806.95978267962,1,4,0.0,5.331127882003784,-21806.95978267962,1,0.0,18.605437994003296,-21806.95978267962,1,0.0,2.108697
2,5,2.616,16463.960978327195,1,2,0.0,16463.960978327195,0.0,9.795,16488.32967091706,1,71,0.0014801233203810406,1.05056,16463.960978327195,1,2,0.0,8.23603105545044,16463.960978327195,1,0.0,18.57448697090149,16463.960978327195,1,0.0,1.05056
2,6,9.551,11.775436260639696,1,4,0.0,11.775436260639696,0.0,32.66,11.775432786584133,1,191,-2.9502572222176377e-7,2.080544,11.775436260639696,1,2,0.0,11.51300597190857,11.775436260639703,1,6.034109650231338e-16,22.98995804786682,11.77543626063945,1,-2.0817678293298552e-14,2.080544
2,7,13.218,-63078.90564121283,1,4,0.0,-63078.90564121283,0.0,68.826,-62951.8471384125,1,515,0.0020183443151550744,2.419349,-63078.90564121283,1,4,0.0,5.099987983703613,-63078.90564121283,1,0.0,24.513625144958496,-63078.90564121283,1,0.0,2.419349
2,8,2.616,15406.993207279134,1,2,0.0,15406.993207279134,0.0,10.293,15425.586858239549,1,73,0.001206831904854069,2.042982,15406.993207279134,1,3,0.0,6.019897937774658,15406.993207279134,1,0.0,20.22754406929016,15406.993207279134,1,0.0,2.042982
3,4,7.237,-30524.560214135006,1,4,0.0,-30524.560214135006,0.0,75.195,-30479.986605143287,1,525,0.0014623893891146788,2.665231,-30524.560214135006,1,4,0.0,6.398033142089844,-30524.560214135006,1,0.0,31.67696714401245,-30524.560214135003,1,1.1918202200361514e-16,2.665231
3,5,5.02,-3687.8041473690605,1,4,0.0,-3687.8041473690605,0.0,105.82,-3685.8321114593637,1,421,0.0005350313986265742,1.421596,-3687.8041473690605,1,2,0.0,5.343409061431885,-3687.8041473690605,1,0.0,18.68959403038025,-3687.8041473690605,1,0.0,1.421596
3,6,13.441,-1955.4886558304197,1,4,0.0,-1955.4886558304197,0.0,88.863,-1955.488671132356,1,503,-7.825121539326279e-9,1.557472,-1955.4886558304197,1,4,0.0,9.217495918273926,-1955.4886558304197,1,0.0,14.297191858291626,-1955.4886558304197,1,0.0,1.557472
3,7,2.423,7945.133483098373,1,2,0.0,7945.133483098373,0.0,9.172,7954.836137250386,1,71,0.0012212071921325228,1.052676,7945.133483098371,1,2,-3.434157665347059e-16,5.67754602432251,7945.133483098373,1,0.0,21.08243489265442,7945.133483098373,1,0.0,1.052676
3,8,7.676,-14473.626743694604,1,4,0.0,-14473.626743694604,0.0,80.06,-14460.444920466398,1,513,0.0009115779839905921,2.588765,-14473.626743694604,1,5,0.0,4.922729969024658,-14473.626743694604,1,0.0,16.587296962738037,-14473.626743694604,1,0.0,2.588765
