seed,dimension,p,k,Ns,solution,dual_gap,rel_dual_gap,ncalls,termination,time
1,50,50,25.0,0.1,-1033.6069192943157,0.0,0.0,4,OPTIMAL,4.918
1,50,50,25.0,1.0,-2663.6104685014852,8.56221049616579e-8,3.2145130068447225e-11,24,OPTIMAL,8.485
1,50,50,25.0,5.0,-1591.2367572923436,1.940179572557099e-9,1.2192903184680816e-12,24,OPTIMAL,8.348
1,50,50,25.0,10.0,-1717.3799574809937,3.8872713048476726e-8,2.263489385627521e-11,28,OPTIMAL,8.46
2,50,50,25.0,0.1,-38.709543020332966,0.0,0.0,4,OPTIMAL,3.374
2,50,50,25.0,1.0,-33.520108236349,76.89908300706502,2.294117980313563,58,OPTIMAL,8.533
2,50,50,25.0,5.0,-70.7525978475437,3.9067899137990025e-8,5.521761790594992e-10,50,OPTIMAL,8.833
2,50,50,25.0,10.0,-70.78393075337834,4.6688541033290676e-8,6.595923755062493e-10,52,OPTIMAL,8.73
3,50,50,25.0,0.1,-45.63547494225324,0.0,0.0,4,OPTIMAL,3.278
3,50,50,25.0,1.0,-37.107065363371206,0.0,0.0,90,OPTIMAL,9.334
3,50,50,25.0,5.0,-83.22443081119468,3.366793066561513e-9,4.0454383811882305e-11,55,OPTIMAL,8.628
3,50,50,25.0,10.0,-84.06045233547995,1.3148024891052046e-8,1.564115410488051e-10,63,OPTIMAL,8.628
4,50,50,25.0,0.1,-66369.00604801116,0.0,0.0,4,OPTIMAL,3.259
4,50,50,25.0,1.0,-267998.66469999024,4.4121406972408295e-8,1.646329358461535e-13,9,OPTIMAL,8.229
4,50,50,25.0,5.0,-111480.15939659905,1.724401954561472e-8,1.546824084119563e-13,16,OPTIMAL,8.422
4,50,50,25.0,10.0,-204123.14864787942,4.4674379751086235e-8,2.188599384587748e-13,17,OPTIMAL,8.551
5,50,50,25.0,0.1,-462.8989001336959,0.0,0.0,4,OPTIMAL,3.351
5,50,50,25.0,1.0,-1327.020954288824,5.5142436394817196e-8,4.1553553631991505e-11,35,OPTIMAL,9.057
